      name:  Changes to evnttype from version 1.2 to version 1.3
  log type:  text
 opened on:  22 Apr 2020, 14:24:38

       
       +------------------------------------------------------------------------+
       |                               country   year    old_etype    new_etype |
18287. |                               Tunisia   1995    non-event    amendment |
18289. |                               Tunisia   1997    non-event    amendment |
18290. |                               Tunisia   1998    non-event    amendment |
18291. |                               Tunisia   1999    non-event    amendment |
       |------------------------------------------------------------------------|
18295. |                               Tunisia   2003    non-event    amendment |
18657. |                                Tuvalu   1990    amendment    non-event |
18659. |                                Tuvalu   1992    non-event    amendment |
18667. |                                Tuvalu   2000    non-event    amendment |
18669. |                                Tuvalu   2002    non-event    amendment |
       |------------------------------------------------------------------------|
18674. |                                Tuvalu   2007    non-event    amendment |
18677. |                                Tuvalu   2010    non-event    amendment |
18770. |                                Uganda   1972    amendment   samendment |
18771. |                                Uganda   1973    amendment   samendment |
18773. |                                Uganda   1975    amendment   samendment |
       |------------------------------------------------------------------------|
18774. |                                Uganda   1976    amendment   samendment |
18775. |                                Uganda   1977    amendment   samendment |
18778. |                                Uganda   1980    amendment   samendment |
18820. |                               Ukraine   1993    non-event    amendment |
18821. |                               Ukraine   1994    non-event    amendment |
       |------------------------------------------------------------------------|
18837. |                               Ukraine   2010    non-event    amendment |
18838. |                               Ukraine   2011    non-event    amendment |
18840. |                               Ukraine   2013    non-event    amendment |
18848. |                  United Arab Emirates   1972    non-event    amendment |
18852. |                  United Arab Emirates   1976    non-event    amendment |
       |------------------------------------------------------------------------|
18857. |                  United Arab Emirates   1981    non-event    amendment |
18862. |                  United Arab Emirates   1986    non-event    amendment |
18867. |                  United Arab Emirates   1991    non-event    amendment |
19618. |                               Vanuatu   2004    non-event    amendment |
19620. |                               Vanuatu   2006    non-event    amendment |
       |------------------------------------------------------------------------|
19627. |                               Vanuatu   2013    non-event    amendment |
19962. |       Vietnam, Democratic Republic Of   2013    non-event    amendment |
20232. |                            Yugoslavia   1929    amendment   suspension |
20296. |                            Yugoslavia   1993    amendment    non-event |
20297. |                            Yugoslavia   1994    amendment    non-event |
       +------------------------------------------------------------------------+

